,CellLine,Drug,ec50UM,ic50UM,aMax,actArea
23219,PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ZD-6474,1.42496491,1.32667041,-91.380966,2.6843
4137,PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AZD6244,3.20615721,8,-31.415808,0.2601
6321,PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,L-685458,-1,8,16.178642,0
8215,PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lapatinib,8.12600534,8,-32.744152,0.35
10163,PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Nutlin-3,-1,8,-1.987319,0.2595
19176,PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Sorafenib,-1,8,-3.276113,0.0678
11250,PC3_PROSTATE,17-AAG,0.22422959,0.38813812,-60.076599,2.0787
3117,PC3_PROSTATE,AZD0530,0.29809913,3.72578216,-50.945904,1.6719
6307,PC3_PROSTATE,Irinotecan,0.27037984,0.391233,-80.865334,1.9126
17321,PC3_PROSTATE,Paclitaxel,0.01793095,0.01797454,-68.946037,4.2393
18284,PC3_PROSTATE,Panobinostat,0.06543615,0.08274639,-78.057266,3.2379
23215,PC3_PROSTATE,Topotecan,0.72867173,1.13095605,-76.538727,1.5711
4136,PC3_PROSTATE,AZD6244,-1,8,-3.256629,0.2844
8212,PC3_PROSTATE,LBW242,-1,8,-2.015043,0.1617
11253,PC3_PROSTATE,Nutlin-3,-1,8,4.095493,0.4157
12198,PC3_PROSTATE,PD-0325901,-1,8,2.688619,0
13191,PC3_PROSTATE,PD-0332991 ,-1,8,-2.120139,0.0102
15271,PC3_PROSTATE,PHA-665752,-1,8,6.952019,0.0131
2468,PC3_PROSTATE,ZD-6474,1.86981237,4.98061419,-54.496864,0.8141
7232,PC3_PROSTATE,L-685458,7.39591885,8,-16.188635,0.0218
14179,PC3_PROSTATE,PF2341066,3.23373437,8,-43.463604,0.1819
11248,PC14_LUNG,17-AAG,0.11152129,0.1011454,-87.646324,4.4138
5199,PC14_LUNG,Erlotinib,0.01340779,0.06461856,-86.957146,3.7177
14176,PC14_LUNG,Paclitaxel,5.79195186,0.00405059,-97.425079,6.7585
15270,PC14_LUNG,Panobinostat,0.07964327,0.07805437,-99.000397,4.1845
20177,PC14_LUNG,ZD-6474,0.21271516,0.22603795,-81.476349,3.3291
2465,PC14_LUNG,AEW541,9.00265084,3.16863871,-97.882446,1.5768
8213,PC14_LUNG,Lapatinib,3.44203162,2.14965892,-96.623543,1.6271
17320,PC14_LUNG,TAE684,1.99235559,1.98669505,-97.977585,1.7777
7230,PC14_LUNG,LBW242,-1,8,-12.056262,0.8567
9165,PC14_LUNG,Nutlin-3,-1,8,-0.755981,0.099
11249,PC14_LUNG,PF2341066,6.85480976,8,-48.165737,0.5781
13192,PC14_LUNG,PLX4720,-1,8,-2.284364,0.3088
16272,PC14_LUNG,Sorafenib,-1,8,-0.5788,0.4259
11242,PATU8902_PANCREAS,17-AAG,0.37917262,0.6604628,-57.230087,2.4817
2462,PATU8902_PANCREAS,AEW541,8.06407133,3.12263632,-78.212448,1.3212
15269,PATU8902_PANCREAS,Panobinostat,0.09216943,0.09386329,-98.685204,3.9954
17315,PATU8902_PANCREAS,TAE684,3.82698774,2.86977553,-81.201889,1.4907
19173,PATU8902_PANCREAS,Topotecan,1.17098427,1.78911376,-68.755623,2.263
7229,PATU8902_PANCREAS,LBW242,-1,8,-5.783551,0.6972
9163,PATU8902_PANCREAS,Nutlin-3,-1,8,-2.697993,0.4023
12197,PATU8902_PANCREAS,PHA-665752,-1,8,0.677067,0.6979
13189,PATU8902_PANCREAS,PLX4720,-1,8,0.392521,0.2355
20176,PATU8902_PANCREAS,ZD-6474,-1,8,-7.690475,0.9198
5198,PATU8902_PANCREAS,Erlotinib,8.6339758,8,-19.224051,0.0789
8211,PATU8902_PANCREAS,Lapatinib,8.03785626,8,-23.529325,0.2098
11246,PATU8902_PANCREAS,PF2341066,3.76573348,8,-25.035004,0.4002
11244,PANC1005_PANCREAS,17-AAG,0.07665116,0.08698244,-72.342331,3.2431
6319,PANC1005_PANCREAS,Irinotecan,0.15014386,0.16512077,-92.897438,3.5233
12193,PANC1005_PANCREAS,PD-0325901,0.44334117,0.32165724,-73.645546,3.0873
17318,PANC1005_PANCREAS,Paclitaxel,5.25925632,0.00335582,-79.156357,5.4204
18289,PANC1005_PANCREAS,Panobinostat,0.08882408,0.09379122,-94.329308,4.0085
23217,PANC1005_PANCREAS,Topotecan,0.18841164,0.20539238,-87.814651,3.3451
7228,PANC1005_PANCREAS,L-685458,-1,8,5.909668,0
8210,PANC1005_PANCREAS,LBW242,-1,8,4.431207,0
10162,PANC1005_PANCREAS,Nilotinib,-1,8,1.299642,0.2589
13190,PANC1005_PANCREAS,PD-0332991 ,-1,8,11.646061,0.1536
15268,PANC1005_PANCREAS,PHA-665752,-1,8,4.522503,0.2858
16271,PANC1005_PANCREAS,PLX4720,-1,8,-3.582231,0.1674
11243,PANC0403_PANCREAS,17-AAG,0.04895727,0.06934998,-73.787491,2.6612
6318,PANC0403_PANCREAS,Irinotecan,0.30391023,0.45351225,-91.584824,1.7691
12195,PANC0403_PANCREAS,PD-0325901,0.03285882,0.38041702,-74.202362,2.8214
17317,PANC0403_PANCREAS,Paclitaxel,0.01123645,0.01026361,-82.382385,3.9711
18288,PANC0403_PANCREAS,Panobinostat,0.0505479,0.0481797,-104.418274,3.5197
21158,PANC0403_PANCREAS,TAE684,0.229739,0.68677437,-77.64711,1.5515
14177,PANC0403_PANCREAS,PF2341066,5.11458921,5.02935934,-77.738289,0.5411
23216,PANC0403_PANCREAS,Topotecan,0.56899941,0.74954063,-89.553688,1.7677
7227,PANC0403_PANCREAS,L-685458,-1,8,-6.664778,0.1511
8209,PANC0403_PANCREAS,LBW242,-1,8,-16.131207,0.3004
11245,PANC0403_PANCREAS,Nutlin-3,-1,8,1.736718,0.3671
13188,PANC0403_PANCREAS,PD-0332991 ,-1,8,7.157999,0.2123
15266,PANC0403_PANCREAS,PHA-665752,-1,8,-8.042017,0.0914
16270,PANC0403_PANCREAS,PLX4720,-1,8,-6.258384,0.0934
11238,PANC0327_PANCREAS,17-AAG,0.0620062,0.06811049,-84.172668,4.3483
6317,PANC0327_PANCREAS,Irinotecan,0.12587999,0.14136624,-87.29879,3.4648
8206,PANC0327_PANCREAS,LBW242,0.65561509,0.77396029,-78.287781,2.2368
17316,PANC0327_PANCREAS,Paclitaxel,4.91158365,0.00320871,-77.869553,5.8073
18287,PANC0327_PANCREAS,Panobinostat,0.10494902,0.13777515,-93.018112,3.6862
23213,PANC0327_PANCREAS,Topotecan,0.3369374,0.36909401,-95.884567,3.1664
19174,PANC0327_PANCREAS,RAF265,8.02260655,1.43714893,-78.633942,2.1313
10161,PANC0327_PANCREAS,Nilotinib,-1,8,-0.800328,0.0196
11241,PANC0327_PANCREAS,Nutlin-3,-1,8,2.631455,0.0711
13187,PANC0327_PANCREAS,PD-0332991 ,-1,8,6.608605,0.0399
15265,PANC0327_PANCREAS,PHA-665752,-1,8,-23.878637,0.2903
16269,PANC0327_PANCREAS,PLX4720,8.31611513,8,-28.590584,0.2345
20175,PANC0327_PANCREAS,Sorafenib,-1,8,-7.953799,0.1145
11239,PANC0203_PANCREAS,17-AAG,0.07166071,0.08245836,-75.719879,3.4803
4135,PANC0203_PANCREAS,AZD6244,0.08451576,0.15040378,-79.662781,3.4381
6316,PANC0203_PANCREAS,Irinotecan,0.38645777,0.43817216,-87.04142,2.7868
12192,PANC0203_PANCREAS,PD-0325901,0.00731432,0.01975488,-92.919632,4.8153
17314,PANC0203_PANCREAS,Paclitaxel,0.01192483,0.01645394,-63.217987,4.0096
18286,PANC0203_PANCREAS,Panobinostat,0.0407294,0.05007985,-96.761002,4.357
7225,PANC0203_PANCREAS,L-685458,-1,8,4.788799,0.0697
8208,PANC0203_PANCREAS,LBW242,-1,8,-3.206862,0.2337
11240,PANC0203_PANCREAS,Nutlin-3,-1,8,-6.464967,0.6172
15263,PANC0203_PANCREAS,PHA-665752,-1,8,-4.698208,0.3393
16266,PANC0203_PANCREAS,PLX4720,-1,8,-3.526298,0.1131
2463,PANC0203_PANCREAS,AEW541,8.1400125,2.61271167,-80.337898,1.5713
3116,PANC0203_PANCREAS,AZD0530,8.00918791,2.56502914,-81.329826,1.669
23214,PANC0203_PANCREAS,Topotecan,3.5053196,1.18135262,-91.326653,2.4189
10160,PANC0203_PANCREAS,Nilotinib,8.22623002,8,-33.416382,0.3683
20174,PANC0203_PANCREAS,Sorafenib,4.00161696,5.70425987,-57.370693,0.5173
11235,P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,0.97711957,1.02065706,-81.945816,2.5398
16268,P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Paclitaxel,0.00646643,0.01010388,-90.393028,5.7467
17312,P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Panobinostat,0.04985412,0.06384793,-94.816673,4.2803
22140,P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Topotecan,0.50971341,0.34815967,-87.331856,3.0622
23212,P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ZD-6474,3.34707475,6.62267351,-52.49332,1.4536
12194,P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PD-0332991 ,8.7582144,7.55710125,-52.647839,0.5391
5197,P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Erlotinib,-1,8,7.142673,0
8207,P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lapatinib,-1,8,4.650394,0.0058
15264,P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PLX4720,-1,8,7.498322,0
18285,P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RAF265,-1,8,0.500632,0.0128
20173,P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TAE684,-1,8,0.859539,0.048
4134,P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AZD6244,0.22121218,0.3620019,-71.519829,3.4009
6315,P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Irinotecan,0.0858104,0.11808878,-96.173515,3.9479
12191,P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PD-0325901,6.31619674,0.020692,-73.876335,4.5666
17313,P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Paclitaxel,0.00848958,0.00950259,-83.013222,5.4592
18276,P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Panobinostat,0.01234656,0.01193112,-95.765709,6.1262
23201,P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Topotecan,0.05608167,0.07034354,-85.503365,3.9765
11236,P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,0.54068232,0.54971397,-93.765678,2.6454
7226,P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,L-685458,5.96649027,4.87359428,-95.946075,1.0578
20172,P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Sorafenib,4.05886126,4.26540613,-91.987129,1.1751
3115,P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AZD0530,-1,8,4.204292,0.079
9164,P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lapatinib,-1,8,4.707146,0.3472
10159,P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Nilotinib,-1,8,-1.490428,0.4948
13186,P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PD-0332991 ,-1,8,-0.570392,0.4643
16267,P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PLX4720,-1,8,-3.547195,0.3729
2464,P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ZD-6474,-1,8,-1.753131,0.4324
11233,P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,0.53991205,0.5941664,-88.354446,2.6965
6313,P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Irinotecan,0.02207361,0.0210595,-95.23616,5.5533
17308,P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Paclitaxel,4.49334832,0.00332529,-98.237572,6.9777
18283,P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Panobinostat,0.00993447,0.01079169,-94.534721,5.9228
19172,P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RAF265,1.95761263,1.32746553,-95.215988,2.289
23211,P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Topotecan,0.03008648,0.02956168,-97.543663,5.2524
3111,P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AZD0530,-1,8,-1.341611,0.3353
8204,P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LBW242,-1,8,-9.601284,0.5791
11237,P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Nutlin-3,-1,8,-4.813705,0.7109
2460,P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ZD-6474,-1,8,-10.811494,0.77
7224,P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,L-685458,8.31722535,3.55644441,-95.911026,1.3994
21159,P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TAE684,1.78399324,1.77820849,-96.883041,2.3245
22139,P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TKI258,8.38823385,2.8703928,-97.178886,1.9616
9162,P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lapatinib,7.04285574,6.98227263,-60.6991,0.7179
15262,P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PHA-665752,2.03610897,8,-19.846579,0.7028
16265,P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PLX4720,3.42078209,8,-35.06628,0.5583
11089,OVTOKO_OVARY,17-AAG,0.38511458,0.80582023,-64.097893,2.0471
3114,OVTOKO_OVARY,AZD0530,0.63383144,1.41367602,-62.778763,1.9162
6314,OVTOKO_OVARY,Irinotecan,0.24401075,0.2825523,-73.821281,2.6997
17311,OVTOKO_OVARY,Panobinostat,0.14117166,0.14805181,-96.626564,4.7984
22136,OVTOKO_OVARY,Topotecan,1.03587771,0.2662932,-96.640343,3.5208
7223,OVTOKO_OVARY,L-685458,-1,8,1.121958,0.301
8205,OVTOKO_OVARY,LBW242,-1,8,-2.041003,0.1956
10158,OVTOKO_OVARY,Nilotinib,-1,8,2.344629,0.1559
13185,OVTOKO_OVARY,PD-0332991 ,-1,8,-1.063205,0.1509
15261,OVTOKO_OVARY,PHA-665752,-1,8,-2.137323,0.2041
11232,OVSAHO_OVARY,17-AAG,2.41635728,3.46498275,-61.440533,1.3862
6312,OVSAHO_OVARY,Irinotecan,3.00293207,1.78702629,-76.767738,1.8955
18282,OVSAHO_OVARY,Panobinostat,0.16887884,0.20274968,-96.310852,3.2763
19170,OVSAHO_OVARY,RAF265,8.2341209,6.51230431,-57.496017,0.7466
23210,OVSAHO_OVARY,Topotecan,8.06571762,3.24893212,-76.935043,1.9364
2461,OVSAHO_OVARY,AEW541,7.16204214,8,-48.157993,0.4298
7222,OVSAHO_OVARY,L-685458,2.60253978,8,-17.110655,0.1184
10157,OVSAHO_OVARY,Nilotinib,-1,8,-9.182086,0.0244
13184,OVSAHO_OVARY,PD-0332991 ,0.61339867,8,-17.870541,0.0811
14175,OVSAHO_OVARY,PF2341066,-1,8,0.245753,0
15260,OVSAHO_OVARY,PHA-665752,-1,8,9.385293,0
16264,OVSAHO_OVARY,PLX4720,-1,8,3.514646,0.0287
11231,OVMANA_OVARY,17-AAG,0.31143108,0.36470345,-73.784546,2.7475
3113,OVMANA_OVARY,AZD0530,2.30688715,3.48510814,-64.493332,1.6191
6311,OVMANA_OVARY,Irinotecan,2.76161766,2.62776566,-93.341698,2.3485
18281,OVMANA_OVARY,Panobinostat,0.17977689,0.1667368,-99.081741,3.3768
21156,OVMANA_OVARY,TAE684,2.43303323,3.36727572,-63.466064,1.112
23209,OVMANA_OVARY,Topotecan,2.25409222,2.30443764,-89.916084,2.4824
4133,OVMANA_OVARY,AZD6244,-1,8,-4.830528,0.623
7220,OVMANA_OVARY,L-685458,-1,8,3.244283,0.2392
8203,OVMANA_OVARY,LBW242,-1,8,-10.4385,1.05
11234,OVMANA_OVARY,Nutlin-3,-1,8,-6.26648,0.6969
13181,OVMANA_OVARY,PD-0332991 ,-1,8,-4.715928,0.2611
15258,OVMANA_OVARY,PHA-665752,-1,8,5.4359,0.1321
5196,OVMANA_OVARY,Erlotinib,1.4950701,8,-12.857316,0.0386
10156,OVMANA_OVARY,Nilotinib,8.52866431,8,-23.540073,0.2676
22137,OVMANA_OVARY,TKI258,8.0844595,8,-15.572598,0.2215
11228,OVCAR8_OVARY,17-AAG,0.14089161,0.14612895,-93.461067,4.0967
6310,OVCAR8_OVARY,Irinotecan,0.07663322,0.07627518,-92.140465,4.2914
17309,OVCAR8_OVARY,Paclitaxel,0.01152137,0.00511186,-93.089661,6.193
18279,OVCAR8_OVARY,Panobinostat,0.02230662,0.02520801,-95.7257,5.1246
19171,OVCAR8_OVARY,RAF265,9.03502476,2.69638252,-78.30513,1.7808
23208,OVCAR8_OVARY,Topotecan,0.07298923,0.07690463,-82.503586,4.034
2458,OVCAR8_OVARY,AEW541,-1,6.78967386,-51.130634,0.6409
4131,OVCAR8_OVARY,AZD6244,-1,8,-8.185593,0.3024
11230,OVCAR8_OVARY,Nutlin-3,-1,8,0.610601,0.0889
13183,OVCAR8_OVARY,PD-0332991 ,-1,8,2.348882,0
20171,OVCAR8_OVARY,Sorafenib,7.82411957,6.16468096,-83.748596,0.9127
7221,OVCAR8_OVARY,L-685458,8.40475538,8,-27.198906,0.2157
8202,OVCAR8_OVARY,LBW242,1.44262493,8,-13.123564,0.0768
16263,OVCAR8_OVARY,PLX4720,8.04863537,8,-24.875101,0.1871
11099,OVCAR4_OVARY,17-AAG,0.33346641,0.45915532,-77.778679,2.2591
6309,OVCAR4_OVARY,Irinotecan,1.53624821,1.58078206,-91.249657,1.8003
8201,OVCAR4_OVARY,LBW242,0.43228999,0.65264636,-74.84861,2.0923
17310,OVCAR4_OVARY,Paclitaxel,0.00319232,0.0082283,-71.81662,4.5514
18280,OVCAR4_OVARY,Panobinostat,0.09286412,0.10043473,-93.994164,3.9406
23207,OVCAR4_OVARY,Topotecan,0.24783826,0.22894901,-94.790199,2.9929
19169,OVCAR4_OVARY,RAF265,8.99002649,3.77521443,-81.010727,1.3031
21157,OVCAR4_OVARY,TAE684,5.48757887,4.09871531,-76.871841,1.1837
4132,OVCAR4_OVARY,AZD6244,-1,8,-0.883702,0
7219,OVCAR4_OVARY,L-685458,-1,8,1.051775,0.0583
13182,OVCAR4_OVARY,PD-0332991 ,-1,8,-6.785155,0.1033
14174,OVCAR4_OVARY,PF2341066,-1,8,0.660796,0.1563
15259,OVCAR4_OVARY,PHA-665752,-1,8,-2.639471,0.0149
16262,OVCAR4_OVARY,PLX4720,-1,8,1.108205,0
11098,OV90_OVARY,17-AAG,0.01654092,0.01858925,-79.925758,4.5708
4130,OV90_OVARY,AZD6244,0.06261859,0.14464153,-75.61216,3.4602
12188,OV90_OVARY,PD-0325901,6.72170229,0.02240205,-76.372391,4.0762
17307,OV90_OVARY,Paclitaxel,4.49859507,0.01105308,-53.588028,3.4582
18278,OV90_OVARY,Panobinostat,0.01911704,0.02978321,-96.45475,4.7692
23206,OV90_OVARY,Topotecan,0.0924556,0.22412244,-83.175194,2.9714
6308,OV90_OVARY,Irinotecan,0.15206635,0.22690423,-80.961662,2.8504
19168,OV90_OVARY,RAF265,1.22747922,1.34134305,-88.069527,1.9905
5195,OV90_OVARY,Erlotinib,-1,8,8.749405,0
7218,OV90_OVARY,L-685458,-1,8,8.11999,0
11229,OV90_OVARY,Nutlin-3,-1,8,-1.97162,0.0955
13180,OV90_OVARY,PD-0332991 ,-1,8,-0.667852,0.072
15257,OV90_OVARY,PHA-665752,-1,8,5.237266,0.0726
16261,OV90_OVARY,PLX4720,-1,8,1.332755,0.1413
11097,C3A_LIVER,17-AAG,0.02519041,0.0277278,-95.846176,5.2974
2409,C3A_LIVER,AEW541,-1,3.1949224,-60.243397,1.5387
10154,C3A_LIVER,PD-0325901,7.15043756,0.68753439,-65.400581,2.4419
16259,C3A_LIVER,Panobinostat,0.02826165,0.03316696,-99.114746,5.2321
21154,C3A_LIVER,Topotecan,0.36797461,1.27774584,-67.682594,2.6169
17306,C3A_LIVER,RAF265,2.47342062,3.51020002,-66.510345,1.1223
5194,C3A_LIVER,Erlotinib,-1,8,-31.474169,0.4533
9161,C3A_LIVER,Nutlin-3,-1,8,-12.295885,0.4562
11227,C3A_LIVER,PD-0332991 ,8.20611946,8,-32.658794,0.4059
14173,C3A_LIVER,PLX4720,-1,8,0.900064,0.4982
20170,C3A_LIVER,TKI258,-1,8,2.807848,0.2617
11096,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,0.68812692,0.66639417,-82.389725,3.1534
6302,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Irinotecan,0.04673747,0.05930118,-93.558426,4.3124
17301,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Paclitaxel,0.24296157,0.24827014,-68.438454,3.6015
23205,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Topotecan,0.15742905,0.16454597,-91.65316,3.6358
18277,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Panobinostat,0.0167014,8,-95.142639,6.84
21155,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TAE684,1.58835959,8,-49.445789,0.9299
8200,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LBW242,-1,8,11.188474,0
9160,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lapatinib,-1,8,7.547006,0.0349
13179,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PD-0332991 ,-1,8,26.522762,0
16260,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PLX4720,-1,8,-21.066452,0.0939
19167,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RAF265,-1,8,-7.914037,0.098
2459,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ZD-6474,-1,8,-12.504198,0.1063
4129,ONS76_CENTRAL_NERVOUS_SYSTEM,AZD6244,0.17761557,0.31749424,-68.333305,2.8866
6306,ONS76_CENTRAL_NERVOUS_SYSTEM,Irinotecan,0.77749252,0.58097082,-96.425049,2.7183
12190,ONS76_CENTRAL_NERVOUS_SYSTEM,PD-0325901,0.00604488,0.0455274,-76.39682,4.1038
17305,ONS76_CENTRAL_NERVOUS_SYSTEM,Panobinostat,0.12029044,0.12355956,-97.170303,3.9079
22134,ONS76_CENTRAL_NERVOUS_SYSTEM,Topotecan,0.26126272,0.28227434,-96.342041,3.336
19166,ONS76_CENTRAL_NERVOUS_SYSTEM,Sorafenib,4.18987322,4.20477247,-96.118019,0.9837
5193,ONS76_CENTRAL_NERVOUS_SYSTEM,Erlotinib,-1,8,0.510847,0.0637
7217,ONS76_CENTRAL_NERVOUS_SYSTEM,L-685458,-1,8,-0.743086,0.117
9159,ONS76_CENTRAL_NERVOUS_SYSTEM,Lapatinib,-1,8,1.237148,0.1084
15256,ONS76_CENTRAL_NERVOUS_SYSTEM,PHA-665752,-1,8,1.273013,0.0113
16258,ONS76_CENTRAL_NERVOUS_SYSTEM,PLX4720,1.65655077,8,-17.97036,0.1695
11095,ONCODG1_OVARY,17-AAG,0.19053903,0.21208721,-78.141274,3.252
6305,ONCODG1_OVARY,Irinotecan,0.53520066,0.56997383,-95.182564,2.6162
17304,ONCODG1_OVARY,Paclitaxel,0.01430019,0.01023574,-96.765312,6.6738
18270,ONCODG1_OVARY,Panobinostat,0.09816021,0.10272537,-94.819214,4.0304
19164,ONCODG1_OVARY,RAF265,1.0341059,1.68189299,-73.589317,1.8703
23204,ONCODG1_OVARY,Topotecan,0.52936477,0.5447374,-92.196472,2.833
8199,ONCODG1_OVARY,LBW242,-1,8,-6.330501,0.2671
11226,ONCODG1_OVARY,Nutlin-3,-1,8,-1.634741,0.1837
14172,ONCODG1_OVARY,PF2341066,-1,8,-1.568116,0.4426
15255,ONCODG1_OVARY,PHA-665752,-1,8,-2.21589,0.142
16257,ONCODG1_OVARY,PLX4720,-1,8,-5.734022,0.396
20169,ONCODG1_OVARY,Sorafenib,7.05183315,8,-29.190535,0.4858
11094,OE33_OESOPHAGUS,17-AAG,0.05665688,0.05854987,-80.175461,4.7147
6304,OE33_OESOPHAGUS,Irinotecan,0.0958303,0.10038691,-92.26741,4.2414
14171,OE33_OESOPHAGUS,PF2341066,7.44825273,0.89482492,-63.322647,2.6605
17303,OE33_OESOPHAGUS,Paclitaxel,-1,0.00254261,-62.717834,4.8996
18275,OE33_OESOPHAGUS,Panobinostat,0.03116173,0.03540568,-96.956215,4.8403
23203,OE33_OESOPHAGUS,Topotecan,0.1385587,0.17822389,-86.910889,3.252
7215,OE33_OESOPHAGUS,L-685458,-1,8,6.119425,0.1213
8198,OE33_OESOPHAGUS,LBW242,-1,8,-23.16094,1.6295
11224,OE33_OESOPHAGUS,Nutlin-3,-1,8,3.973224,0.1788
16255,OE33_OESOPHAGUS,PLX4720,-1,8,-4.692174,0.4093
20167,OE33_OESOPHAGUS,Sorafenib,-1,8,6.86888,0.2001
12189,OE33_OESOPHAGUS,PD-0325901,0.93487483,1.20788789,-83.342148,1.8762
21153,OE33_OESOPHAGUS,TAE684,2.44481635,2.60413671,-81.45488,1.8779
10155,OE33_OESOPHAGUS,Nilotinib,0.11545117,8,-10.280178,0.1666
22135,OE33_OESOPHAGUS,TKI258,3.63231635,8,-31.556124,0.2963
11093,C32_SKIN,17-AAG,0.00762011,0.00667355,-96.160294,6.5863
4126,C32_SKIN,AZD6244,0.98282313,1.36016297,-74.781601,1.8523
12185,C32_SKIN,PD-0325901,0.08238986,0.08952288,-71.142799,3.2117
17302,C32_SKIN,Paclitaxel,0.07916812,0.09992994,-55.644749,3.1892
18274,C32_SKIN,Panobinostat,0.28995854,0.59730542,-87.09671,2.4495
23202,C32_SKIN,Topotecan,0.2192589,0.27757472,-64.991257,2.2885
2408,C32_SKIN,AEW541,8.34745116,6.35458088,-72.457832,0.8161
6303,C32_SKIN,Irinotecan,3.40622425,1.63680291,-72.940781,2.0384
3112,C32_SKIN,AZD0530,-1,8,1.940589,0
7216,C32_SKIN,L-685458,-1,8,0.715771,0.0404
9158,C32_SKIN,Lapatinib,-1,8,0.688936,0
10153,C32_SKIN,Nilotinib,7.24379921,8,-24.553806,0.1393
11225,C32_SKIN,Nutlin-3,-1,8,-3.874465,0
13178,C32_SKIN,PD-0332991 ,2.47800756,8,-30.416098,0.0747
11092,OCUM1_STOMACH,17-AAG,0.040542,0.04638156,-92.113762,4.7362
4128,OCUM1_STOMACH,AZD6244,0.05863022,0.06757481,-92.746346,4.2032
12187,OCUM1_STOMACH,PD-0325901,0.02093774,0.0193744,-93.498993,5.29
